OrderID,OrderDate,CustomerName,Segment,Category,ProductName,Quantity,UnitPrice,Discount,Revenue,Profit,Region
1,2023-01-01 00:00:00,Customer_103,Home Office,Furniture,Product_10,1,218.76,0.0,218.76,41.97,South
2,2023-01-01 01:00:00,Customer_436,Corporate,Office Supplies,Product_288,5,263.27,0.0,1316.35,379.23,West
3,2023-01-01 02:00:00,Customer_349,Corporate,Office Supplies,Product_112,9,459.47,0.0,4135.23,767.62,East
4,2023-01-01 03:00:00,Customer_271,Home Office,Furniture,Product_24,4,66.2,0.0,264.8,58.7,West
5,2023-01-01 04:00:00,Customer_107,Home Office,Office Supplies,Product_291,2,44.91,0.0,89.82,22.82,West
6,2023-01-01 05:00:00,Customer_72,Corporate,Office Supplies,Product_168,6,427.45,0.0,2564.7,640.75,West
7,2023-01-01 06:00:00,Customer_189,Consumer,Office Supplies,Product_109,2,389.68,0.0,779.36,53.21,South
8,2023-01-01 07:00:00,Customer_21,Home Office,Office Supplies,Product_190,3,139.23,0.0,417.69,98.26,East
9,2023-01-01 08:00:00,Customer_103,Consumer,Office Supplies,Product_196,8,168.87,0.0,1350.96,388.22,South
10,2023-01-01 09:00:00,Customer_122,Home Office,Office Supplies,Product_33,3,162.04,0.0,486.12,109.46,Central
11,2023-01-01 10:00:00,Customer_467,Consumer,Technology,Product_205,2,327.43,0.0,654.86,169.68,East
12,2023-01-01 11:00:00,Customer_215,Consumer,Furniture,Product_182,6,39.99,0.05,227.94,39.07,West
13,2023-01-01 12:00:00,Customer_331,Consumer,Office Supplies,Product_147,3,249.81,0.0,749.43,97.25,West
14,2023-01-01 13:00:00,Customer_459,Corporate,Furniture,Product_268,1,75.6,0.0,75.6,16.56,West
15,2023-01-01 14:00:00,Customer_88,Consumer,Technology,Product_11,3,411.67,0.0,1235.01,213.72,Central
16,2023-01-01 15:00:00,Customer_373,Consumer,Office Supplies,Product_70,6,196.52,0.1,1061.21,290.58,Central
17,2023-01-01 16:00:00,Customer_100,Consumer,Furniture,Product_256,3,268.51,0.0,805.53,236.5,West
18,2023-01-01 17:00:00,Customer_360,Home Office,Office Supplies,Product_219,9,24.37,0.0,219.33,55.92,West
19,2023-01-01 18:00:00,Customer_152,Consumer,Office Supplies,Product_297,7,38.55,0.0,269.85,80.46,Central
20,2023-01-01 19:00:00,Customer_131,Home Office,Office Supplies,Product_259,5,340.78,0.0,1703.9,233.59,South
21,2023-01-01 20:00:00,Customer_150,Consumer,Office Supplies,Product_3,2,385.72,0.05,732.87,200.76,East
